iter	Logloss	Accuracy
0	0.6772312084	0.7481353062
1	0.6629390316	0.7601499819
2	0.6497846974	0.7620449139
3	0.6370992515	0.7663992259
4	0.6259263307	0.7674474862
5	0.6152067778	0.7683344757
6	0.604928082	0.7711970326
7	0.5969099824	0.7718824336
8	0.5878848048	0.7763576987
9	0.5802151901	0.7759545216
10	0.5735485979	0.7777688183
11	0.5667553341	0.7780913599
12	0.5603207292	0.7787767609
13	0.5537471654	0.7808329638
14	0.5478086239	0.7817602709
15	0.5424677786	0.7828488489
16	0.537405222	0.7829294843
17	0.5326668733	0.7838971092
18	0.5282194963	0.7847034633
19	0.5239048363	0.7859936298
20	0.5194023817	0.7879691973
21	0.5149133524	0.7884530097
22	0.5114833463	0.7891384107
23	0.5080947662	0.789904447
24	0.504554882	0.7905495303
25	0.5011861571	0.7914365198
26	0.4978139516	0.7921219207
27	0.4944147613	0.793170181
28	0.4915160329	0.7942990767
29	0.488861226	0.7951054308
30	0.4859924439	0.7963552796
31	0.4832830436	0.7968794097
32	0.4809652717	0.7967181389
33	0.4782553121	0.796435915
34	0.475856868	0.7977260815
35	0.4735497896	0.799016248
36	0.4714695499	0.7996613313
37	0.4695102067	0.8004676854
38	0.4674466034	0.8014756279
39	0.4652916416	0.8024432528
40	0.4633518024	0.8029270653
41	0.4615186267	0.8036124662
42	0.4594661959	0.8046204088
43	0.4575385454	0.805144539
44	0.4556371498	0.8057089868
45	0.4541202126	0.8068782002
46	0.4523838018	0.8074426481
47	0.4507709624	0.8082086844
48	0.4491777634	0.8094585332
49	0.4477321002	0.8096198041
50	0.4462431355	0.8108293352
51	0.4449646673	0.8116356892
52	0.4436489339	0.8123614079
53	0.4419649235	0.8136112567
54	0.4403599191	0.8140547514
55	0.4388172526	0.8144176108
56	0.4376278731	0.8143369754
57	0.4360365692	0.8154658711
58	0.4347481927	0.8158287304
59	0.4334109989	0.8159900012
60	0.4320822507	0.8178446156
61	0.4305667744	0.8183687457
62	0.4293522877	0.8190541467
63	0.428149543	0.8190541467
64	0.4270581193	0.8192960529
65	0.4259904143	0.8195782768
66	0.4247850429	0.8199814539
67	0.4235438933	0.8202636778
68	0.4224123092	0.821190985
69	0.4211809227	0.8213925735
70	0.4199730826	0.8221182921
71	0.4186550002	0.8232471878
72	0.4174646548	0.8232068701
73	0.4162687469	0.8240938596
74	0.4152663785	0.8249808491
75	0.4142110771	0.8251018022
76	0.4133574384	0.8255049792
77	0.4122660977	0.8259887917
78	0.4113347414	0.8263113333
79	0.4102693287	0.8272789582
80	0.409290127	0.8275208644
81	0.4084448413	0.8277627706
82	0.4074765801	0.828528807
83	0.4064106943	0.8298189735
84	0.4055471754	0.8301818328
85	0.404648592	0.8310285046
86	0.4038883868	0.8311897754
87	0.4030880755	0.8311897754
88	0.4022324623	0.8318348587
89	0.4014220498	0.8324396242
90	0.4002810121	0.8325202596
91	0.3992398068	0.8330443898
92	0.3982693812	0.8336088376
93	0.397315743	0.8338910616
94	0.3965523965	0.833971697
95	0.3957265746	0.8343345563
96	0.3947666802	0.8351409104
97	0.3937679121	0.8357053582
98	0.3929479231	0.8362698061
99	0.3921093537	0.8366326654
100	0.3912767888	0.837237431
101	0.3902011199	0.8373583841
102	0.3893945398	0.8380034673
103	0.3886062565	0.8386485506
104	0.3879520368	0.8389307745
105	0.3870058459	0.8397774463
106	0.3862345493	0.840220941
107	0.3855191565	0.8402612587
108	0.3846842985	0.8403822118
109	0.3841489412	0.8408660243
110	0.3835955188	0.8409869774
111	0.3828996953	0.8413901544
112	0.3820984549	0.8418739669
113	0.3814786413	0.8421158731
114	0.3805833612	0.8424384147
115	0.3799601522	0.8428819094
116	0.3792295998	0.8436882635
117	0.3782578801	0.8437285812
118	0.3775582149	0.8441317583
119	0.3768871153	0.8440108051
120	0.3761077759	0.8443736645
121	0.3754985674	0.8451397008
122	0.3748671063	0.8454219248
123	0.3741559886	0.8457041487
124	0.373550577	0.8457847841
125	0.3729836685	0.8463089142
126	0.3724753726	0.8465911382
127	0.371765623	0.8468733621
128	0.3711093595	0.8475990808
129	0.370532878	0.8483247994
130	0.3697950027	0.8488489296
131	0.3691454891	0.849332742
132	0.3685757612	0.849332742
133	0.3681066706	0.8494940128
134	0.367451412	0.8503810023
135	0.3668409472	0.8506229085
136	0.3663018412	0.8507035439
137	0.3658146675	0.851106721
138	0.3652126138	0.8517921219
139	0.3645659612	0.852195299
140	0.3639304976	0.8521549813
141	0.3633953142	0.8525178406
142	0.3626752922	0.8532032415
143	0.3622557998	0.853283877
144	0.3615466277	0.8537676894
145	0.3607968633	0.8538483248
146	0.3601641198	0.8541305487
147	0.3597722578	0.8546143612
148	0.3591477773	0.8549772205
149	0.3586035438	0.8549772205
150	0.3581930274	0.8552997621
151	0.3574974835	0.8549772205
152	0.3568731447	0.8550981736
153	0.3563741323	0.8552594444
154	0.3558800746	0.8551384913
155	0.3553306071	0.8554610329
156	0.3548292779	0.8558238923
157	0.3542523357	0.856670564
158	0.353644905	0.8564286578
159	0.3532101971	0.8570334234
160	0.3527388731	0.8571543765
161	0.3522835755	0.857355965
162	0.3518418594	0.8576381889
163	0.3513460724	0.8580816837
164	0.3509899914	0.8581623191
165	0.3502743396	0.8582832722
166	0.3498793824	0.8582429545
167	0.3492267349	0.8586864492
168	0.3488124562	0.8587267669
169	0.3482767598	0.8590493086
170	0.3476408376	0.8596540741
171	0.3469445189	0.8596943918
172	0.3463818582	0.8601378865
173	0.3458165096	0.8602588397
174	0.345355082	0.8604201105
175	0.3449619708	0.861024876
176	0.3442855402	0.8608232875
177	0.3438146122	0.8615490062
178	0.3432764265	0.8618312301
179	0.342922694	0.8618715478
180	0.3424857684	0.8617909124
181	0.3419344019	0.862113454
182	0.3414334529	0.8624359956
183	0.3410569321	0.8627182196
184	0.3406917637	0.8627585373
185	0.3402012665	0.8634439382
186	0.3397235872	0.8636455268
187	0.3391842332	0.8636858445
188	0.3387177541	0.8640487038
189	0.3382876235	0.86429061
190	0.3377765724	0.8647744224
191	0.337291012	0.8651775995
192	0.3367278428	0.8652985526
193	0.3362179921	0.8654598234
194	0.3358755062	0.8657420473
195	0.335619092	0.8659033181
196	0.3352122801	0.865782365
197	0.3348138191	0.8661452244
198	0.3343857834	0.8662661775
199	0.3338286101	0.8665887191
200	0.3333278632	0.8667499899
201	0.332874557	0.867153167
202	0.3323556154	0.8673144378
203	0.3318910684	0.8675966617
204	0.3314397124	0.8675966617
205	0.3310832228	0.8679192033
206	0.3307691924	0.8677982502
207	0.3304139259	0.8679192033
208	0.3300093181	0.8684030158
209	0.3295233868	0.8686046043
210	0.3291669361	0.8686046043
211	0.3288123938	0.8688465105
212	0.3284634939	0.8688465105
213	0.3280379002	0.8688868282
214	0.3275169306	0.8692496875
215	0.3272030955	0.8694512761
216	0.3268346093	0.8693706406
217	0.3263845921	0.8696931823
218	0.3260625255	0.8695722292
219	0.3256510261	0.8700560416
220	0.3251332401	0.8706204895
221	0.3245797551	0.8707817603
222	0.3240687398	0.8707414426
223	0.3235478107	0.8713058904
224	0.3231610552	0.8714671612
225	0.3227627995	0.871628432
226	0.3223736242	0.8719912914
227	0.3217179251	0.8725960569
228	0.3212091152	0.872999234
229	0.3208485811	0.8732814579
230	0.3205376397	0.872999234
231	0.3200569059	0.8735233641
232	0.3196315415	0.873402411
233	0.3191057649	0.8737652703
234	0.3186055378	0.8743700359
235	0.3181760525	0.874490989
236	0.3177268218	0.8747328952
237	0.3172074582	0.8749748014
238	0.3167953235	0.87517639
239	0.3163095098	0.8758617909
240	0.3159943472	0.8760633794
241	0.3156523808	0.8762246502
242	0.3153031797	0.8763052857
243	0.3148871659	0.8766278273
244	0.3144151441	0.8767890981
245	0.3139836831	0.8767487804
246	0.3135695079	0.8773938636
247	0.3131372455	0.8773938636
248	0.3127737038	0.8776760876
249	0.3122548971	0.8780792646
250	0.3118275576	0.8784018062
251	0.3114428968	0.878563077
252	0.3111105512	0.8791678426
253	0.310645504	0.8793694311
