iter	Passed	Remaining
0	24	24312
1	35	17596
2	46	15318
3	56	13958
4	66	13201
5	76	12603
6	85	12161
7	95	11894
8	105	11659
9	115	11443
10	125	11300
11	135	11124
12	145	11012
13	154	10910
14	164	10793
15	173	10667
16	182	10551
17	192	10488
18	202	10432
19	212	10388
20	221	10319
21	231	10288
22	241	10242
23	251	10208
24	260	10156
25	270	10118
26	279	10075
27	289	10036
28	299	10012
29	308	9967
30	317	9912
31	327	9898
32	336	9874
33	347	9868
34	358	9885
35	368	9880
36	379	9879
37	389	9851
38	399	9848
39	409	9823
40	419	9810
41	429	9797
42	439	9780
43	449	9768
44	460	9772
45	470	9751
46	480	9749
47	490	9732
48	499	9703
49	509	9689
50	519	9662
51	528	9637
52	538	9618
53	547	9600
54	557	9587
55	568	9575
56	577	9550
57	586	9530
58	595	9498
59	605	9480
60	614	9464
61	624	9448
62	634	9435
63	643	9418
64	653	9398
65	662	9378
66	672	9359
67	681	9346
68	691	9328
69	700	9305
70	709	9287
71	719	9272
72	729	9257
73	739	9248
74	748	9234
75	758	9216
76	767	9198
77	777	9188
78	787	9176
79	796	9164
80	806	9145
81	815	9132
82	825	9117
83	834	9103
84	844	9092
85	854	9081
86	863	9064
87	873	9050
88	883	9038
89	892	9023
90	901	9007
91	911	8993
92	920	8978
93	930	8969
94	939	8954
95	949	8943
96	959	8935
97	970	8927
98	979	8915
99	989	8902
100	999	8895
101	1009	8890
102	1019	8877
103	1028	8863
104	1038	8849
105	1047	8836
106	1057	8829
107	1067	8819
108	1078	8816
109	1088	8805
110	1097	8791
111	1108	8786
112	1118	8777
113	1128	8774
114	1139	8771
115	1149	8760
116	1159	8749
117	1169	8744
118	1179	8735
119	1190	8726
120	1199	8716
121	1210	8708
122	1219	8694
123	1228	8681
124	1239	8673
125	1248	8658
126	1258	8648
127	1267	8635
128	1277	8626
129	1286	8612
130	1296	8602
131	1306	8591
132	1315	8577
133	1325	8563
134	1334	8549
135	1343	8532
136	1352	8519
137	1361	8504
138	1370	8488
139	1380	8479
140	1390	8470
141	1399	8454
142	1408	8438
143	1417	8424
144	1426	8413
145	1436	8402
146	1446	8394
147	1455	8381
148	1465	8367
149	1474	8354
150	1483	8340
151	1492	8328
152	1502	8317
153	1511	8303
154	1520	8291
155	1530	8278
156	1539	8266
157	1549	8255
158	1558	8243
159	1567	8230
160	1577	8218
161	1586	8205
162	1597	8202
163	1606	8191
164	1616	8179
165	1625	8168
166	1635	8155
167	1643	8141
168	1653	8129
169	1662	8117
170	1672	8109
171	1682	8101
172	1692	8090
173	1702	8080
174	1711	8068
175	1720	8055
176	1730	8046
177	1739	8034
178	1749	8023
179	1758	8010
180	1767	7998
181	1776	7986
182	1786	7973
183	1795	7962
184	1804	7950
185	1814	7941
186	1824	7930
187	1833	7921
188	1843	7910
189	1853	7900
190	1863	7891
191	1872	7880
192	1882	7870
193	1892	7862
194	1902	7852
195	1911	7841
196	1922	7834
197	1931	7824
198	1941	7814
199	1951	7805
200	1960	7794
201	1970	7784
202	1979	7772
203	1989	7761
204	1998	7750
205	2007	7739
206	2017	7730
207	2027	7719
208	2036	7708
209	2046	7697
210	2055	7687
211	2065	7676
212	2074	7664
213	2084	7656
214	2093	7645
215	2103	7633
216	2112	7623
217	2122	7612
218	2131	7602
219	2142	7594
220	2151	7583
221	2160	7572
222	2170	7563
223	2180	7552
224	2189	7541
225	2198	7529
226	2207	7517
227	2217	7506
228	2225	7494
229	2234	7482
230	2244	7471
231	2253	7460
232	2262	7449
233	2272	7440
234	2282	7430
235	2308	7472
236	2318	7463
237	2327	7453
238	2338	7445
239	2349	7440
240	2360	7432
241	2370	7423
242	2379	7413
243	2389	7402
244	2399	7393
245	2408	7381
246	2417	7371
247	2427	7361
248	2437	7352
249	2447	7342
250	2457	7332
251	2467	7322
252	2476	7313
253	2486	7303
254	2496	7292
255	2505	7282
256	2514	7270
257	2524	7259
258	2533	7247
259	2542	7235
260	2552	7226
261	2562	7217
262	2571	7206
263	2581	7197
264	2590	7185
265	2600	7174
266	2609	7163
267	2618	7151
268	2628	7141
269	2637	7131
270	2646	7119
271	2656	7109
272	2665	7099
273	2675	7088
274	2684	7077
275	2694	7067
276	2703	7057
277	2713	7046
278	2722	7035
279	2731	7024
280	2741	7014
281	2750	7002
282	2759	6991
283	2769	6981
284	2779	6972
285	2788	6961
286	2797	6950
287	2807	6939
288	2816	6927
289	2825	6917
290	2834	6905
291	2844	6895
292	2853	6886
293	2863	6875
294	2872	6864
295	2881	6853
296	2891	6844
297	2901	6835
298	2910	6824
299	2920	6813
300	2929	6802
301	2938	6791
302	2947	6780
303	2956	6769
304	2966	6758
305	2975	6748
306	2984	6737
307	2994	6727
308	3003	6717
309	3013	6707
310	3023	6698
311	3032	6687
312	3041	6676
313	3051	6667
314	3061	6657
315	3071	6647
316	3081	6639
317	3091	6629
318	3100	6618
319	3110	6608
320	3120	6599
321	3129	6589
322	3138	6579
323	3148	6568
324	3157	6558
325	3166	6547
326	3176	6537
327	3185	6526
328	3194	6515
329	3204	6506
330	3214	6496
331	3223	6486
332	3233	6476
333	3242	6465
334	3251	6455
335	3261	6445
336	3270	6434
337	3280	6425
338	3289	6414
339	3299	6404
340	3308	6394
341	3318	6383
342	3328	6375
343	3338	6366
344	3347	6356
345	3357	6345
346	3366	6335
347	3376	6325
348	3385	6314
349	3393	6303
350	3403	6293
351	3412	6282
352	3422	6272
353	3431	6262
354	3441	6253
355	3451	6242
356	3460	6233
357	3469	6222
358	3479	6212
359	3489	6203
360	3499	6195
361	3509	6184
362	3518	6174
363	3527	6164
364	3537	6154
365	3549	6148
366	3559	6139
367	3570	6131
368	3580	6121
369	3590	6113
370	3600	6103
371	3609	6094
372	3619	6084
373	3629	6074
374	3639	6065
375	3649	6056
376	3659	6047
377	3669	6038
378	3680	6030
379	3689	6020
380	3699	6010
381	3709	6001
382	3719	5991
383	3728	5981
384	3737	5970
385	3746	5959
386	3756	5950
387	3765	5940
388	3775	5930
389	3784	5920
390	3794	5909
391	3803	5899
392	3813	5889
393	3822	5879
394	3831	5868
395	3840	5857
396	3849	5847
397	3858	5836
398	3868	5826
399	3878	5817
400	3887	5807
401	3897	5797
402	3906	5787
403	3915	5776
404	3925	5767
405	3935	5757
406	3944	5747
407	3954	5737
408	3963	5727
409	3972	5716
410	3981	5706
411	3991	5696
412	4000	5685
413	4009	5675
414	4019	5666
415	4028	5656
416	4038	5646
417	4047	5635
418	4057	5625
419	4066	5615
420	4075	5605
421	4084	5594
422	4093	5583
423	4103	5574
424	4113	5565
425	4123	5556
426	4132	5545
427	4141	5535
428	4151	5525
429	4161	5516
430	4170	5506
431	4180	5496
432	4190	5486
433	4199	5476
434	4208	5466
435	4218	5456
436	4227	5446
437	4237	5437
438	4247	5427
439	4257	5418
440	4266	5408
441	4275	5397
442	4284	5387
443	4294	5377
444	4303	5367
445	4312	5357
446	4322	5347
447	4332	5337
448	4341	5327
449	4350	5317
450	4360	5307
451	4369	5297
452	4378	5287
453	4388	5277
454	4398	5268
455	4407	5257
456	4416	5247
457	4425	5237
458	4435	5227
459	4445	5218
460	4454	5208
461	4464	5198
462	4473	5188
463	4482	5177
464	4492	5168
465	4501	5158
466	4510	5148
467	4520	5138
468	4530	5129
469	4539	5119
470	4549	5109
471	4558	5099
472	4567	5089
473	4577	5079
474	4586	5069
475	4595	5059
476	4605	5049
477	4614	5039
478	4624	5029
479	4633	5019
480	4642	5009
481	4652	4999
482	4661	4989
483	4672	4981
484	4681	4971
485	4691	4961
486	4701	4952
487	4711	4942
488	4720	4933
489	4730	4923
490	4739	4913
491	4749	4903
492	4760	4895
493	4772	4888
494	4783	4880
495	4794	4872
496	4805	4863
497	4815	4854
498	4826	4845
499	4836	4836
500	4846	4827
501	4871	4833
502	4881	4823
503	4891	4814
504	4902	4805
505	4913	4796
506	4923	4787
507	4934	4779
508	4945	4770
509	4956	4761
510	4977	4762
511	4986	4753
512	4996	4743
513	5006	4733
514	5016	4723
515	5026	4714
516	5037	4705
517	5046	4695
518	5056	4685
519	5065	4675
520	5074	4665
521	5083	4655
522	5092	4644
523	5102	4634
524	5112	4625
525	5121	4615
526	5131	4605
527	5141	4595
528	5150	4585
529	5159	4575
530	5169	4565
531	5178	4555
532	5187	4545
533	5197	4535
534	5206	4525
535	5216	4516
536	5226	4505
537	5235	4496
538	5245	4486
539	5254	4475
540	5264	4466
541	5273	4456
542	5282	4446
543	5291	4435
544	5301	4426
545	5310	4415
546	5320	4406
547	5329	4395
548	5339	4386
549	5348	4376
550	5358	4366
551	5368	4357
552	5378	4347
553	5388	4338
554	5398	4328
555	5407	4318
556	5417	4308
557	5426	4298
558	5436	4288
559	5445	4278
560	5454	4268
561	5464	4258
562	5473	4248
563	5483	4238
564	5493	4229
565	5502	4219
566	5512	4209
567	5521	4199
568	5530	4189
569	5572	4204
570	5590	4199
571	5602	4192
572	5613	4182
573	5622	4172
574	5632	4163
575	5641	4153
576	5650	4142
577	5660	4132
578	5668	4121
579	5677	4111
580	5687	4101
581	5697	4091
582	5706	4081
583	5715	4071
584	5724	4061
585	5734	4051
586	5743	4040
587	5752	4030
588	5761	4020
589	5771	4010
590	5780	4000
591	5790	3990
592	5799	3980
593	5808	3970
594	5818	3960
595	5828	3950
596	5837	3940
597	5846	3930
